Transaction,Type,Currency,Amount,Details,Outstanding Loan,Date / Time
NXTzlBBjfNOmG,Interest,USDC,0.04348792,approved / USDC Interest Earned,$0.00,2020-10-20 01:00:02
NXTNRSNrHSlu5,Interest,USDTERC,0.09540343,approved / USDT Interest Earned,$0.00,2020-10-20 01:00:02
NXTIp1ES4aSQ5,Interest,USDTERC,0.09538332,approved / USDT Interest Earned,$0.00,2020-10-19 01:00:02
NXTgVIQZgfpXu,Interest,USDC,0.04347875,approved / USDC Interest Earned,$0.00,2020-10-19 01:00:02
NXT0KDqgZrtpz,Interest,USDC,0.04346959,approved / USDC Interest Earned,$0.00,2020-10-18 01:00:03
NXT9N3R3Q81DS,Interest,USDTERC,0.09536321,approved / USDT Interest Earned,$0.00,2020-10-18 01:00:03
NXTO43cGdeMaQ,Interest,USDTERC,0.09534310,approved / USDT Interest Earned,$0.00,2020-10-17 01:00:03
NXTlkKoOFjjiF,Interest,USDC,0.04346042,approved / USDC Interest Earned,$0.00,2020-10-17 01:00:03
NXT942lkaUtVN,Interest,USDTERC,0.09532300,approved / USDT Interest Earned,$0.00,2020-10-16 01:00:03
NXTuQb9zofdl1,Interest,USDC,0.04345126,approved / USDC Interest Earned,$0.00,2020-10-16 01:00:03
NXTCV0R4bwz1h,Interest,USDC,0.04344210,approved / USDC Interest Earned,$0.00,2020-10-15 01:00:02
NXTaBHdCE2M9W,Interest,USDTERC,0.09530291,approved / USDT Interest Earned,$0.00,2020-10-15 01:00:02
NXTNmM1ZReRsY,Interest,USDC,0.04343294,approved / USDC Interest Earned,$0.00,2020-10-14 01:00:03
NXTlSdDh3jp0N,Interest,USDTERC,0.09528281,approved / USDT Interest Earned,$0.00,2020-10-14 01:00:03
NXTLQlVp53grX,Interest,USDTERC,0.09526272,approved / USDT Interest Earned,$0.00,2020-10-13 01:00:02
NXTFq9UR9UYUe,Interest,USDC,0.04342378,approved / USDC Interest Earned,$0.00,2020-10-13 01:00:02
NXTTWOPK3DVRN,Interest,USDC,0.04341463,approved / USDC Interest Earned,$0.00,2020-10-12 01:00:02
NXTrCfbRfIsZC,Interest,USDTERC,0.09524264,approved / USDT Interest Earned,$0.00,2020-10-12 01:00:02
NXTj12wCHaxx4,Interest,USDC,0.04340547,approved / USDC Interest Earned,$0.00,2020-10-11 01:00:03
NXTs3sWZ7r5KX,Interest,USDTERC,0.09522256,approved / USDT Interest Earned,$0.00,2020-10-11 01:00:03
NXTgl5scTH90V,Interest,USDTERC,0.09520248,approved / USDT Interest Earned,$0.00,2020-10-10 01:00:03
NXTbATrEXi0dc,Interest,USDC,0.04339632,approved / USDC Interest Earned,$0.00,2020-10-10 01:00:03
NXTDYaDcaeg5z,Interest,USDC,0.04338717,approved / USDC Interest Earned,$0.00,2020-10-09 01:00:02
NXTyv8bropQLd,Interest,USDTERC,0.09518241,approved / USDT Interest Earned,$0.00,2020-10-09 01:00:02
NXTeJ1VZGq1uZ,Interest,USDC,0.04337803,approved / USDC Interest Earned,$0.00,2020-10-08 01:00:02
NXTPfZtoV0mAD,Interest,USDTERC,0.09516235,approved / USDT Interest Earned,$0.00,2020-10-08 01:00:02
NXTrHPGfZNuj3,Interest,USDTERC,0.09514228,approved / USDT Interest Earned,$0.00,2020-10-07 01:00:03
NXT9N4RPFu9Tz,Interest,USDC,0.04336888,approved / USDC Interest Earned,$0.00,2020-10-07 01:00:03
NXTElZ9JnLzhV,Interest,USDTERC,0.09512222,approved / USDT Interest Earned,$0.00,2020-10-06 01:00:02
NXTNoOjgdc74y,Interest,USDC,0.04335974,approved / USDC Interest Earned,$0.00,2020-10-06 01:00:02
NXTmLsqviFgy8,Interest,USDTERC,0.09510217,approved / USDT Interest Earned,$0.00,2020-10-05 01:00:02
NXTXiRFAwQRDm,Interest,USDC,0.04335060,approved / USDC Interest Earned,$0.00,2020-10-05 01:00:02
NXTuRvExI4z1l,Interest,USDTERC,0.09508212,approved / USDT Interest Earned,$0.00,2020-10-04 01:00:02
NXT3UkpK8L6PE,Interest,USDC,0.04334146,approved / USDC Interest Earned,$0.00,2020-10-04 01:00:02
NXToj5N3D8L34,Interest,USDC,0.04333232,approved / USDC Interest Earned,$0.00,2020-10-03 01:00:03
NXTsBIw27pK3e,Interest,USDTERC,0.09506207,approved / USDT Interest Earned,$0.00,2020-10-03 01:00:03
NXTRFduh5UPc7,Interest,USDTERC,0.09504203,approved / USDT Interest Earned,$0.00,2020-10-02 01:00:02
NXTYA52eusNdH,Interest,USDC,0.04332318,approved / USDC Interest Earned,$0.00,2020-10-02 01:00:02
NXTDOqVlBXk3z,Interest,USDTERC,0.09502199,approved / USDT Interest Earned,$0.00,2020-10-01 01:00:03
NXTylOu0PiUJd,Interest,USDC,0.04331405,approved / USDC Interest Earned,$0.00,2020-10-01 01:00:03
NXTsXJHLY0KOh,Interest,USDTERC,0.09500196,approved / USDT Interest Earned,$0.00,2020-09-30 01:00:03
NXTGDaTTA5hWW,Interest,USDC,0.04330492,approved / USDC Interest Earned,$0.00,2020-09-30 01:00:03
NXTYzb9VoHkNg,Interest,USDTERC,0.09498193,approved / USDT Interest Earned,$0.00,2020-09-29 01:00:03
NXTwfsLdQN7VV,Interest,USDC,0.04329579,approved / USDC Interest Earned,$0.00,2020-09-29 01:00:03
NXTjXLb0jGzZP,Interest,USDC,0.04328666,approved / USDC Interest Earned,$0.00,2020-09-28 01:00:02
NXTsaBBNZX6ws,Interest,USDTERC,0.09496190,approved / USDT Interest Earned,$0.00,2020-09-28 01:00:02
NXTB3x0Dr2fXa,Interest,USDC,0.04327753,approved / USDC Interest Earned,$0.00,2020-09-27 01:00:02
NXTK6maahImv3,Interest,USDTERC,0.09494188,approved / USDT Interest Earned,$0.00,2020-09-27 01:00:02
NXTx7vde0UXOn,Interest,USDTERC,0.09492187,approved / USDT Interest Earned,$0.00,2020-09-26 01:00:02
NXTKoCplcZuWc,Interest,USDC,0.04326841,approved / USDC Interest Earned,$0.00,2020-09-26 01:00:02
NXTZJQb0F1efA,Interest,USDC,0.04325929,approved / USDC Interest Earned,$0.00,2020-09-25 01:00:02
NXTwzhn7r71mz,Interest,USDTERC,0.09490186,approved / USDT Interest Earned,$0.00,2020-09-25 01:00:02
NXTGRAOOR19Dx,Interest,USDC,0.04325017,approved / USDC Interest Earned,$0.00,2020-09-24 01:00:02
NXT1nimdfBtTb,Interest,USDTERC,0.09488185,approved / USDT Interest Earned,$0.00,2020-09-24 01:00:02
NXTLkR8f1rWqo,Interest,USDTERC,0.09486184,approved / USDT Interest Earned,$0.00,2020-09-23 01:00:02
NXT1WNVWKT8jZ,Interest,USDC,0.04324105,approved / USDC Interest Earned,$0.00,2020-09-23 01:00:02
